Team,Goals Scored,Goals Against,Opposing Team,Half-time Home Goals,Half-time Away Goals,RoundID,MatchID
France,4,1,Mexico,3,0,201,1096
USA,3,0,Belgium,2,0,201,1090
Yugoslavia,2,1,Brazil,2,0,201,1093
Romania,3,1,Peru,1,0,201,1098
Argentina,1,0,France,0,0,201,1085
Chile,3,0,Mexico,1,0,201,1095
Yugoslavia,4,0,Bolivia,0,0,201,1092
USA,3,0,Paraguay,2,0,201,1097
Uruguay,1,0,Peru,0,0,201,1099
Chile,1,0,France,0,0,201,1094
Argentina,6,3,Mexico,3,1,201,1086
Brazil,4,0,Bolivia,1,0,201,1091
Paraguay,1,0,Belgium,1,0,201,1089
Uruguay,4,0,Romania,4,0,201,1100
Argentina,3,1,Chile,2,1,201,1084
Argentina,6,1,USA,1,0,202,1088
Uruguay,6,1,Yugoslavia,3,1,202,1101
Uruguay,4,2,Argentina,1,2,405,1087
Austria,3,2,France,0,0,204,1104
Hungary,4,2,Egypt,2,2,204,1119
Switzerland,3,2,Netherlands,2,1,204,1133
Sweden,3,2,Argentina,1,1,204,1102
Germany,5,2,Belgium,1,2,204,1108
Spain,3,1,Brazil,3,0,204,1111
Italy,7,1,USA,3,0,204,1135
Czechoslovakia,2,1,Romania,0,1,204,1141
Czechoslovakia,3,2,Switzerland,1,1,418,1143
Germany,2,1,Sweden,0,0,418,1129
Italy,1,1,Spain,0,0,418,1122
Austria,2,1,Hungary,1,0,418,1106
Italy,1,0,Spain,1,0,418,1123
Italy,1,0,Austria,1,0,3492,1107
Czechoslovakia,3,1,Germany,1,0,3492,1130
Germany,3,2,Austria,3,1,3491,1105
Italy,2,1,Czechoslovakia,0,0,3490,1134
Switzerland,1,1,Germany,0,0,206,1165
Hungary,6,0,Dutch East Indies,4,0,206,1173
France,3,1,Belgium,2,1,206,1146
Cuba,3,3,Romania,0,0,206,1156
Italy,2,1,Norway,0,0,206,1179
Brazil,6,5,Poland,0,0,206,1150
Czechoslovakia,3,0,Netherlands,0,0,206,1172
Cuba,2,1,Romania,0,1,206,1157
Switzerland,4,2,Germany,1,2,206,1166
Brazil,1,1,Czechoslovakia,0,0,429,1152
Hungary,2,0,Switzerland,1,0,429,1175
Sweden,8,0,Cuba,4,0,429,1158
Italy,3,1,France,1,1,429,1164
Brazil,2,1,Czechoslovakia,0,1,429,1153
Hungary,5,1,Sweden,3,1,3489,1176
Italy,2,1,Brazil,0,0,3489,1149
Brazil,4,2,Sweden,1,2,3488,1151
Italy,4,2,Hungary,3,1,3487,1174
Brazil,4,0,Mexico,1,0,208,1187
England,2,0,Chile,1,0,208,1192
Spain,3,1,USA,0,1,208,1208
Sweden,3,2,Italy,2,1,208,1219
Yugoslavia,3,0,Switzerland,0,0,208,1230
Brazil,2,2,Switzerland,2,1,208,1188
Yugoslavia,4,1,Mexico,2,0,208,1225
Spain,2,0,Chile,2,0,208,1193
Sweden,2,2,Paraguay,2,1,208,1228
USA,1,0,England,1,0,208,1202
Brazil,2,0,Yugoslavia,1,0,208,1191
Spain,1,0,England,0,0,208,1199
Italy,2,0,Paraguay,1,0,208,1218
Uruguay,8,0,Bolivia,4,0,208,1185
Switzerland,2,1,Mexico,2,0,208,1222
Chile,5,2,USA,2,0,208,1194
Uruguay,2,2,Spain,1,2,209,1207
Brazil,7,1,Sweden,3,0,209,1189
Brazil,6,1,Spain,3,0,209,1186
Uruguay,3,2,Sweden,1,2,209,1231
Sweden,3,1,Spain,2,0,209,1206
Uruguay,2,1,Brazil,0,0,209,1190
Uruguay,2,0,Czechoslovakia,0,0,211,1315
Austria,1,0,Scotland,1,0,211,1236
Brazil,5,0,Mexico,4,0,211,1249
Yugoslavia,1,0,France,1,0,211,1276
Germany FR,4,1,Turkey,1,1,211,1283
Hungary,9,0,Korea Republic,4,0,211,1294
England,4,4,Belgium,0,0,211,1240
Switzerland,2,1,Italy,1,1,211,1300
Uruguay,7,0,Scotland,2,0,211,1313
Austria,5,0,Czechoslovakia,4,0,211,1238
France,3,2,Mexico,1,0,211,1275
Brazil,1,1,Yugoslavia,0,0,211,1252
Hungary,8,3,Germany FR,3,1,211,1277
Turkey,7,0,Korea Republic,4,0,211,1304
England,2,0,Switzerland,1,0,211,1263
Italy,4,1,Belgium,1,0,211,1243
Germany FR,7,2,Turkey,3,1,211,1284
Switzerland,4,1,Italy,1,0,211,1301
Uruguay,4,2,England,2,1,212,1264
Austria,7,5,Switzerland,5,4,212,1237
Germany FR,2,0,Yugoslavia,1,0,212,1285
Hungary,4,2,Brazil,2,1,212,1248
Germany FR,6,1,Austria,1,0,462,1233
Hungary,4,2,Uruguay,0,0,462,1295
Austria,3,1,Uruguay,1,1,3485,1239
Germany FR,3,2,Hungary,2,2,3484,1278
Sweden,3,0,Mexico,1,0,220,1415
Soviet Union,2,2,England,1,0,220,1372
Argentina,1,3,Germany FR,1,2,220,1323
Hungary,1,1,Wales,1,1,220,1407
France,7,3,Paraguay,2,2,220,1386
Yugoslavia,1,1,Scotland,1,0,220,1434
Brazil,3,0,Austria,1,0,220,1326
Northern Ireland,1,0,Czechoslovakia,1,0,220,1421
Brazil,0,0,England,0,0,220,1339
Mexico,1,1,Wales,0,1,220,1418
Paraguay,3,2,Scotland,2,1,220,1423
Yugoslavia,3,2,France,1,1,220,1388
Soviet Union,2,0,Austria,1,0,220,1332
Germany FR,2,2,Czechoslovakia,0,2,220,1391
Argentina,3,1,Northern Ireland,1,1,220,1324
Sweden,2,1,Hungary,1,0,220,1406
Sweden,0,0,Wales,0,0,220,1438
Brazil,2,0,Soviet Union,1,0,220,1344
Germany FR,2,2,Northern Ireland,1,1,220,1389
Hungary,4,0,Mexico,1,0,220,1403
Paraguay,3,3,Yugoslavia,1,2,220,1426
France,2,1,Scotland,2,0,220,1387
England,2,2,Austria,0,1,220,1327
Czechoslovakia,6,1,Argentina,3,0,220,1325
Soviet Union,1,0,England,0,0,220,1373
Northern Ireland,2,1,Czechoslovakia,0,0,220,1422
Wales,2,1,Hungary,0,1,220,1408
Brazil,1,0,Wales,0,0,221,1345
Germany FR,1,0,Yugoslavia,1,0,221,1392
Sweden,2,0,Soviet Union,0,0,221,1437
France,4,0,Northern Ireland,1,0,221,1385
Sweden,3,1,Germany FR,1,1,488,1390
Brazil,5,2,France,2,1,488,1340
France,6,3,Germany FR,3,1,3483,1382
Brazil,5,2,Sweden,2,1,3482,1343
Uruguay,2,1,Colombia,0,1,231,1479
Brazil,2,0,Mexico,0,0,231,1461
Argentina,1,0,Bulgaria,1,0,231,1447
Chile,3,1,Switzerland,1,1,231,1473
Soviet Union,2,0,Yugoslavia,0,0,231,1563
Czechoslovakia,1,0,Spain,0,0,231,1498
Hungary,2,1,England,1,0,231,1490
Germany FR,0,0,Italy,0,0,231,1507
Yugoslavia,3,1,Uruguay,2,1,231,1564
Brazil,0,0,Czechoslovakia,0,0,231,1462
England,3,1,Argentina,2,0,231,1450
Chile,2,0,Italy,0,0,231,1472
Soviet Union,4,4,Colombia,3,1,231,1478
Spain,1,0,Mexico,0,0,231,1497
Hungary,6,1,Bulgaria,4,0,231,1470
Germany FR,2,1,Switzerland,1,0,231,1510
Soviet Union,2,1,Uruguay,1,0,231,1562
Brazil,2,1,Spain,0,1,231,1460
Hungary,0,0,Argentina,0,0,231,1451
Germany FR,2,0,Chile,1,0,231,1471
Yugoslavia,5,0,Colombia,2,0,231,1480
Mexico,3,1,Czechoslovakia,2,1,231,1544
England,0,0,Bulgaria,0,0,231,1464
Italy,3,0,Switzerland,1,0,231,1532
Chile,2,1,Soviet Union,2,1,232,1474
Brazil,3,1,England,1,1,232,1459
Czechoslovakia,1,0,Hungary,1,0,232,1525
Yugoslavia,1,0,Germany FR,0,0,232,1511
Czechoslovakia,3,1,Yugoslavia,0,0,514,1559
Brazil,4,2,Chile,2,1,514,1458
Chile,1,0,Yugoslavia,0,0,3481,1475
Brazil,3,1,Czechoslovakia,1,1,3480,1463
England,0,0,Uruguay,0,0,238,1636
Germany FR,5,0,Switzerland,3,0,238,1656
Brazil,2,0,Bulgaria,1,0,238,1596
Soviet Union,3,0,Korea DPR,2,0,238,1710
France,1,1,Mexico,0,0,238,1650
Portugal,3,1,Hungary,1,0,238,1675
Argentina,2,1,Spain,0,0,238,1578
Italy,2,0,Chile,1,0,238,1608
Uruguay,2,1,France,2,1,238,1653
Spain,2,1,Switzerland,0,1,238,1641
Hungary,3,1,Brazil,1,1,238,1597
Korea DPR,1,1,Chile,0,1,238,1609
Portugal,3,0,Bulgaria,2,0,238,1602
Germany FR,0,0,Argentina,0,0,238,1579
Soviet Union,1,0,Italy,0,0,238,1682
England,2,0,Mexico,1,0,238,1634
Uruguay,0,0,Mexico,0,0,238,1689
Argentina,2,0,Switzerland,0,0,238,1582
Portugal,3,1,Brazil,2,0,238,1598
Korea DPR,1,0,Italy,1,0,238,1679
England,2,0,France,1,0,238,1632
Hungary,3,1,Bulgaria,2,1,238,1599
Germany FR,2,1,Spain,1,1,238,1637
Soviet Union,2,1,Chile,1,1,238,1610
England,1,0,Argentina,0,0,239,1577
Germany FR,4,0,Uruguay,1,0,239,1660
Soviet Union,2,1,Hungary,1,0,239,1676
Portugal,5,3,Korea DPR,2,3,239,1702
Germany FR,2,1,Soviet Union,1,0,536,1659
England,2,1,Portugal,1,0,536,1635
Portugal,2,1,Soviet Union,1,1,3479,1709
England,4,2,Germany FR,0,0,3478,1633
Mexico,0,0,Soviet Union,0,0,250,1902
Uruguay,2,0,Israel,1,0,250,1881
Peru,3,2,Bulgaria,0,1,250,1780
England,1,0,Romania,0,0,250,1812
Italy,1,0,Sweden,1,0,250,1883
Germany FR,2,1,Morocco,0,1,250,1839
Brazil,4,1,Czechoslovakia,1,1,250,1770
Belgium,3,0,El Salvador,1,0,250,1747
Uruguay,0,0,Italy,0,0,250,1884
Peru,3,0,Morocco,0,0,250,1893
Romania,2,1,Czechoslovakia,0,1,250,1919
Soviet Union,4,1,Belgium,1,0,250,1753
Sweden,1,1,Israel,0,0,250,1880
Germany FR,5,2,Bulgaria,2,1,250,1774
Brazil,1,0,England,0,0,250,1764
Mexico,4,0,El Salvador,1,0,250,1820
Sweden,1,0,Uruguay,0,0,250,1922
Germany FR,3,1,Peru,3,1,250,1840
Brazil,3,2,Romania,2,1,250,1769
Soviet Union,2,0,El Salvador,0,0,250,1823
Italy,0,0,Israel,0,0,250,1877
Bulgaria,1,1,Morocco,1,0,250,1779
England,1,0,Czechoslovakia,0,0,250,1813
Mexico,1,0,Belgium,1,0,250,1752
Italy,4,1,Mexico,1,1,251,1882
Germany FR,3,2,England,0,0,251,1811
Brazil,4,2,Peru,2,1,251,1768
Uruguay,1,0,Soviet Union,0,0,251,1925
Brazil,3,1,Uruguay,1,1,569,1771
Italy,4,3,Germany FR,0,0,569,1838
Germany FR,1,0,Uruguay,1,0,3477,1843
Brazil,4,1,Italy,1,1,3476,1765
Brazil,0,0,Yugoslavia,0,0,262,1986
Germany FR,1,0,Chile,1,0,262,2003
German DR,2,0,Australia,0,0,262,1955
Zaire,0,2,Scotland,0,2,262,2176
Uruguay,0,2,Netherlands,0,1,262,2098
Sweden,0,0,Bulgaria,0,0,262,1995
Italy,3,1,Haiti,0,0,262,2083
Poland,3,2,Argentina,2,0,262,1952
Australia,0,3,Germany FR,0,2,262,1954
Scotland,0,0,Brazil,0,0,262,1985
Chile,1,1,German DR,0,0,262,2004
Yugoslavia,9,0,Zaire,6,0,262,2186
Netherlands,0,0,Sweden,0,0,262,2097
Bulgaria,1,1,Uruguay,0,0,262,1996
Haiti,0,7,Poland,0,5,262,2085
Argentina,1,1,Italy,1,1,262,1949
Scotland,1,1,Yugoslavia,0,0,262,2175
Australia,0,0,Chile,0,0,262,1953
Zaire,0,3,Brazil,0,1,262,1987
German DR,1,0,Germany FR,0,0,262,2062
Bulgaria,1,4,Netherlands,0,2,262,1990
Argentina,4,1,Haiti,2,0,262,1947
Sweden,3,0,Uruguay,0,0,262,2181
Poland,2,1,Italy,2,0,262,2129
